detection,sampler,samplecode,vintage,name,open_date,sampled_date,added_to_cellartracker,notes,size
cuprac,jonathan,stoney-rise-pn,2021,stoney rise pinot noir,5/5/2023,16/5/2023,y,,750
cuprac,jonathan,crawford-cab,2018,crawford river cabernets,5/5/2023,16/5/2023,y,,750
cuprac,jonathan,st hugo gsm,2021,St Hugo Grenache Shiraz Mataro,5/5/2023,16/5/2023,y,,750
cuprac,jonathan,torbreck-struie,2021,torbreck the struie,5/5/2023,16/5/2023,y,,750
cuprac,jonathan,mt-diff-bannockburn-pn,2020,Mt. Difficulty Pinot Noir Bannockburn,5/5/2023,16/5/2023,y,,750
cuprac,colin,116,2021,Marco De Bartoli Lucido,12/5/2023,18/5/2023,y,,
cuprac,colin,117,2022,greywacke sauvignon blanc ,12/5/2023,18/5/2023,y,,
cuprac,colin,118,1001,Taittinger Champagne Cuvée Prestige,12/5/2023,18/5/2023,y,,
cuprac,colin,119,2021,Bortolin Angelo Valdobbiadene Extra Dry,12/5/2023,18/5/2023,y,,
cuprac,davy,120,2021,stefano Lubiana Pinot Noir,,19/5/2023,y,,
cuprac,davy,121,2021,jumping juice pinot noir,,19/5/2023,y,,
cuprac,davy,122,2021,lethbridge pinot noir,,19/5/2023,y,,
cuprac,davy,123,2021,Baglio di Grìsi Nero d'Avola,,19/5/2023,y,,
cuprac,davy,124,2022,Mr. Barval Nebbia,,19/5/2023,y,"Davy's notes had this wine as: nebbia coperta nebbiolo barbera. Cant find anything matching that, this was the one that turned up the most.",
cuprac,davy,125,2020,rockford moppa springs,,19/5/2023,y,,
cuprac,jonathan,126,2020,Fattoria Poggerino Chianti Classico,12/5/2023,19/5/2023,y,,
cuprac,colin,127,2021,cantina orsogana,13/5/2023,19/5/2023,n,2023-06-04 11:05:26 - will have to check signal to id what wine this is,
cuprac,jonathan,128,2019,Mount Pleasant Wines Mount Henry Shiraz Pinot Noir,17/5/2023,19/5/2023,y,,
cuprac,jonathan,129,2021,Domaine Oudin Chablis,17/5/2023,19/5/2023,y,,
cuprac,jonathan,130,2021,le juice gamay,9/5/2023,19/5/2023,y,,
cuprac,jonathan,131,2021,Koerner Nielluccio Sangiovese Vivian Vineyard,13/5/2023,19/5/2023,y,,
cuprac,jonathan,132,2019,"Scarpa Nebbiolo d'Alba Cru ""Bric du Nota""",13/5/2023,19/5/2023,y,,
cuprac,jonathan,133,2018,Chalmers Schioppettino Dott.,13/5/2023,19/5/2023,y,,
cuprac,jonathan,134,2020,Agricola Punica Montessu Isola dei Nuraghi IGT,13/5/2023,19/5/2023,y,,
cuprac,jonathan,135,2021,Fasoli Gino Bardolino Classico La Corte del Pozzo,13/5/2023,19/5/2023,y,,
cuprac,jonathan,136,2022,Fetherston Pinot Noir Fungi pinot noir,17/5/2023,19/5/2023,y,,
cuprac,jonathan,137,2021,hey malbec,2/5/2023,19/5/2023,y,,
cuprac,jonathan,138,2021,Arianna Occhipinti SP68 Rosso,9/5/2023,19/5/2023,y,,
cuprac,colin,139,2021,Inama Soave Classico Vigneti di Carbonare,11/5/2023,19/5/2023,y,,
cuprac,davy,140,2020,Bruno Lafon Languedoc Un Jardin d'ete Rose,,,y,,
cuprac,davy,141,2022,Penfolds Chardonnay Max's,,,y,,
cuprac,davy,142,2021,Leeuwin Estate Chardonnay Prelude,,,y,,
