Size,Vintage,Wine,Locale,Country,Region,SubRegion,Appellation,Producer,Type,Color,Category,Varietal
750ml,2021,Pieropan Soave Classico,"Italy, Veneto, Soave Classico",Italy,Veneto,Unknown,Soave Classico,Pieropan,White,White,Dry,Garganega
750ml,2021,Pithon-Paillé Grolleau Grololo,"France, Loire Valley",France,Loire Valley,Unknown,Unknown,Pithon-Paillé,Red,Red,Dry,Grolleau
750ml,2020,Fattoria Poggerino Chianti Classico,"Italy, Tuscany, Chianti, Chianti Classico DOCG",Italy,Tuscany,Chianti,Chianti Classico DOCG,Fattoria Poggerino,Red,Red,Dry,Sangiovese
750ml,2018,Pr&#333;ter&#333; Nebbiolo Gumeracha,"Australia, South Australia, Mount Lofty Ranges, Adelaide Hills",Australia,South Australia,Mount Lofty Ranges,Adelaide Hills,Pr&#333;ter&#333;,Red,Red,Dry,Nebbiolo
750ml,2020,"Podere Pradarolo ""Vej"" Bianco Antico Emilia IGT","Italy, Emilia-Romagna, Emilia IGT",Italy,Emilia-Romagna,Unknown,Emilia IGT,Podere Pradarolo,Orange,Orange,Dry,Malvasia di Candia
750ml,2020,Prieuré Saint Côme Petit Chablis,"France, Burgundy, Chablis, Petit Chablis",France,Burgundy,Chablis,Petit Chablis,Prieuré Saint Côme,White,White,Dry,Chardonnay
750ml,2017,Punset Langhe Neh!,"Italy, Piedmont, Langhe, Langhe DOC",Italy,Piedmont,Langhe,Langhe DOC,Punset,Red,Red,Dry,Red Blend
750ml,2020,Les Quatre Tours Côtes de Provence Rosé,"France, Provence, Côtes de Provence",France,Provence,Unknown,Côtes de Provence,Les Quatre Tours,Rosé,Rosé,Dry,Rosé Blend
750ml,2020,Radikon Slatnik,"Italy, Friuli-Venezia Giulia, Venezia Giulia IGT",Italy,Friuli-Venezia Giulia,Unknown,Venezia Giulia IGT,Radikon,Orange,Orange,Dry,Chardonnay Blend
750ml,2020,Rocca di Montegrossi Chianti Classico,"Italy, Tuscany, Chianti, Chianti Classico DOCG",Italy,Tuscany,Chianti,Chianti Classico DOCG,Rocca di Montegrossi,Red,Red,Dry,Sangiovese Blend
750ml,2020,Rockford Moppa Springs,"Australia, South Australia, Barossa, Barossa Valley",Australia,South Australia,Barossa,Barossa Valley,Rockford,Red,Red,Dry,Red Rhone Blend
750ml,2019,Giovanni Rosso Etna Bianco,"Italy, Sicily, Etna DOC",Italy,Sicily,Unknown,Etna DOC,Giovanni Rosso,White,White,Dry,Carricante
750ml,2019,"Scarpa Nebbiolo d'Alba Cru ""Bric du Nota""","Italy, Piedmont, Alba, Nebbiolo d'Alba",Italy,Piedmont,Alba,Nebbiolo d'Alba,Scarpa,Red,Red,Dry,Nebbiolo
750ml,2021,Domaine Séguinot-Bordet Chablis,"France, Burgundy, Chablis",France,Burgundy,Chablis,Chablis,Domaine Séguinot-Bordet,White,White,Dry,Chardonnay
750ml,2014,Shaw and Smith Shiraz,"Australia, South Australia, Mount Lofty Ranges, Adelaide Hills",Australia,South Australia,Mount Lofty Ranges,Adelaide Hills,Shaw and Smith,Red,Red,Dry,Shiraz
750ml,2019,Shaw and Smith Shiraz Balhannah,"Australia, South Australia, Mount Lofty Ranges, Adelaide Hills",Australia,South Australia,Mount Lofty Ranges,Adelaide Hills,Shaw and Smith,Red,Red,Dry,Shiraz
750ml,2022,Sigurd Chenin Blanc,"Australia, South Australia, Barossa, Barossa Valley",Australia,South Australia,Barossa,Barossa Valley,Sigurd,White,White,Dry,Chenin Blanc
750ml,2022,Domaine Simha Paysan Fleur Sauvage,"Australia, Tasmania, Southern Tasmania",Australia,Tasmania,Southern Tasmania,Unknown,Domaine Simha,Orange,Orange,Dry,Chardonnay Blend
750ml,2022,Smallfry Wines Barossa Tangerine Dream,"Australia, South Australia, Barossa, Barossa Valley",Australia,South Australia,Barossa,Barossa Valley,Smallfry Wines,White,White,Dry,White Blend
750ml,2020,Spinifex Shiraz Bete Noir,"Australia, South Australia, Barossa, Barossa Valley",Australia,South Australia,Barossa,Barossa Valley,Spinifex,Red,Red,Dry,Shiraz
750ml,2009,St Hugo Cabernet Sauvignon Coonawarra,"Australia, South Australia, Limestone Coast, Coonawarra",Australia,South Australia,Limestone Coast,Coonawarra,St Hugo,Red,Red,Dry,Cabernet Sauvignon
750ml,2021,St Hugo Grenache Shiraz Mataro,"Australia, South Australia, Barossa, Barossa Valley",Australia,South Australia,Barossa,Barossa Valley,St Hugo,Red,Red,Dry,Red Rhone Blend
750ml,2022,Stargazer Riesling,"Australia, Tasmania, Coal River",Australia,Tasmania,Coal River,Unknown,Stargazer,White,White,Dry,Riesling
